model,year,price,transmission,mileage,fuelType,tax(£),mpg,engineSize,catergory_mileage,catergory_year,catergory_tax
I20,2017.0,7999.0,Manual,17307.0,Petrol,145.0,58.9,1.2,10000>20000,2015>2020,100>150
Tucson,2016.0,14499.0,Automatic,25233.0,Diesel,235.0,43.5,2.0,20000>30000,2015>2020,>200
Tucson,2016.0,11399.0,Manual,37877.0,Diesel,30.0,61.7,1.7,30000>40000,2015>2020,<100
I10,2016.0,6499.0,Manual,23789.0,Petrol,20.0,60.1,1.0,20000>30000,2015>2020,<100
IX35,2015.0,10199.0,Manual,33177.0,Diesel,160.0,51.4,2.0,30000>40000,2010>2015,150>200
I10,2015.0,6149.0,Manual,41650.0,Petrol,20.0,60.1,1.0,40000>50000,2010>2015,<100
I20,2015.0,6799.0,Manual,39547.0,Petrol,30.0,55.4,1.2,30000>40000,2010>2015,<100
Tucson,2016.0,14199.0,Automatic,30300.0,Diesel,125.0,57.6,1.7,30000>40000,2015>2020,100>150
I30,2018.0,10399.0,Automatic,38082.0,Petrol,145.0,51.4,1.4,30000>40000,2015>2020,100>150
Tucson,2016.0,12163.0,Manual,21014.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
Tucson,2017.0,13200.0,Manual,22888.0,Diesel,150.0,61.7,1.7,20000>30000,2015>2020,100>150
I30,2017.0,10000.0,Manual,20000.0,Petrol,150.0,56.5,1.0,10000>20000,2015>2020,100>150
I20,2015.0,6900.0,Manual,26413.0,Petrol,30.0,55.4,1.2,20000>30000,2010>2015,<100
Tucson,2019.0,17750.0,Manual,10000.0,Petrol,150.0,34.9,1.6,0<10000,2015>2020,100>150
Tucson,2017.0,14600.0,Semi-Auto,18626.0,Diesel,125.0,57.6,1.7,10000>20000,2015>2020,100>150
I40,2015.0,8700.0,Manual,31979.0,Diesel,30.0,65.7,1.7,30000>40000,2010>2015,<100
Tucson,2017.0,13000.0,Manual,26685.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
I10,2018.0,7100.0,Manual,35000.0,Petrol,145.0,60.1,1.0,30000>40000,2015>2020,100>150
I10,2016.0,7500.0,Manual,6000.0,Petrol,20.0,57.6,1.2,0<10000,2015>2020,<100
Tucson,2017.0,12000.0,Manual,17059.0,Diesel,30.0,61.7,1.7,10000>20000,2015>2020,<100
