id,gender,race/ethnicity,parental level of education,lunch,test preparation course
1,female,group B,bachelor's degree,standard,none
2,female,group C,some college,standard,completed
3,female,group B,master's degree,standard,none
4,male,group A,associate's degree,free/reduced,none
5,male,group C,some college,standard,none
6,female,group B,associate's degree,standard,none
7,female,group B,some college,standard,completed
8,male,group B,some college,free/reduced,none
9,male,group D,high school,free/reduced,completed
10,female,group B,high school,free/reduced,none
11,male,group C,associate's degree,standard,none
12,male,group D,associate's degree,standard,none
13,female,group B,high school,standard,none
14,male,group A,some college,standard,completed
15,female,group A,master's degree,standard,none
16,female,group C,some high school,standard,none
17,male,group C,high school,standard,none
18,female,group B,some high school,free/reduced,none
19,male,group C,master's degree,free/reduced,completed
20,female,group C,associate's degree,free/reduced,none
21,male,group D,high school,standard,none
22,female,group B,some college,free/reduced,completed
23,male,group D,some college,standard,none
24,female,group C,some high school,standard,none
25,male,group D,bachelor's degree,free/reduced,completed
26,male,group A,master's degree,free/reduced,none
27,male,group B,some college,standard,none
28,female,group C,bachelor's degree,standard,none
29,male,group C,high school,standard,none
30,female,group D,master's degree,standard,none
31,female,group D,some college,standard,none
32,female,group B,some college,standard,none
33,female,group E,master's degree,free/reduced,none
34,male,group D,some college,standard,none
35,male,group E,some college,standard,none
36,male,group E,associate's degree,standard,completed
37,female,group D,associate's degree,standard,none
38,female,group D,some high school,free/reduced,none
39,female,group D,associate's degree,free/reduced,completed
40,male,group B,associate's degree,free/reduced,none
41,male,group C,associate's degree,free/reduced,none
42,female,group C,associate's degree,standard,none
43,female,group B,associate's degree,standard,none
44,male,group B,some college,free/reduced,completed
45,female,group E,associate's degree,free/reduced,none
46,male,group B,associate's degree,standard,none
47,female,group A,associate's degree,standard,completed
48,female,group C,high school,standard,none
49,female,group D,associate's degree,free/reduced,completed
50,male,group C,high school,standard,completed
51,male,group E,some college,standard,none
52,male,group E,associate's degree,free/reduced,completed
53,male,group C,some college,standard,none
54,male,group D,high school,standard,none
55,female,group C,some high school,free/reduced,completed
56,female,group C,high school,free/reduced,none
57,female,group E,associate's degree,standard,completed
58,male,group D,associate's degree,standard,none
59,male,group D,some college,standard,completed
60,female,group C,some high school,free/reduced,none
61,male,group E,bachelor's degree,free/reduced,completed
62,male,group A,some high school,free/reduced,none
63,male,group A,associate's degree,free/reduced,none
64,female,group C,associate's degree,standard,none
65,female,group D,some high school,standard,none
66,male,group B,some high school,standard,none
67,male,group D,some high school,free/reduced,none
68,female,group C,some college,standard,none
69,male,group B,associate's degree,free/reduced,none
