Name,Type,Level,Race,Attribute,ATK,DEF,Total
Spiritual Beast Pettlephin,Effect Monster,4.0,Aqua,WIND,0.0,2000.0,2000.0
Ritual Beast Ulti-Pettlephin,Fusion Monster,6.0,Aqua,WIND,200.0,2800.0,3000.0
Cloudian - Eye of the Typhoon,Effect Monster,8.0,Aqua,WIND,3000.0,1000.0,4000.0
Vortex Trooper,Effect Monster,3.0,Aqua,WIND,0.0,600.0,600.0
Wingtortoise,Effect Monster,3.0,Aqua,WIND,1500.0,1400.0,2900.0
Performapal Sellshell Crab,Pendulum Effect Monster,5.0,Aqua,WATER,500.0,2500.0,
Tradetoad,Effect Monster,1.0,Aqua,WATER,100.0,2000.0,
Koa'ki Meiru Ice,Effect Monster,4.0,Aqua,WATER,1900.0,1200.0,
Island Turtle,Normal Monster,4.0,Aqua,WATER,1100.0,2000.0,
Dewdark of the Ice Barrier,Tuner Monster,2.0,Aqua,WATER,1200.0,800.0,
Gruesome Goo,Normal Monster,3.0,Aqua,WATER,1300.0,700.0,
Jellyfish,Normal Monster,4.0,Aqua,WATER,1200.0,1500.0,
Zarigun,Normal Monster,2.0,Aqua,WATER,600.0,700.0,
The Great Emperor Penguin,Effect Monster,5.0,Aqua,WATER,1800.0,1500.0,
Performapal Turn Toad,Pendulum Effect Monster,2.0,Aqua,WATER,0.0,800.0,
Des Frog,Effect Monster,5.0,Aqua,WATER,1900.0,0.0,
Puny Penguin,Effect Monster,1.0,Aqua,WATER,400.0,200.0,
Wind-Up Snail,Effect Monster,2.0,Aqua,WATER,100.0,2000.0,
Graydle Dragon,Synchro Monster,8.0,Aqua,WATER,3000.0,2000.0,
T.A.D.P.O.L.E.,Effect Monster,1.0,Aqua,WATER,0.0,0.0,
Evigishki Merrowgeist,XYZ Monster,4.0,Aqua,WATER,2100.0,1600.0,
High Tide Gyojin,Normal Monster,4.0,Aqua,WATER,1650.0,1300.0,
Boneheimer,Normal Monster,3.0,Aqua,WATER,850.0,400.0,
"Gameciel, the Sea Turtle Kaiju",Effect Monster,8.0,Aqua,WATER,2200.0,3000.0,
Gishki Reliever,Effect Monster,2.0,Aqua,WATER,500.0,800.0,
Aqua Snake,Normal Monster,3.0,Aqua,WATER,1050.0,900.0,
Water Girl,Normal Monster,4.0,Aqua,WATER,1250.0,1000.0,
